хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2016-10-12,'000502,бл╬╟©ь╧и,23.9,24.33,23.81,24.05,24.22,-0.32,-1.3212,0.9743,1786139,42900424.44,4417188607.3,4381566254.8,1984
2016-10-11,'000502,бл╬╟©ь╧и,24.22,24.5,24.01,24.28,24.25,-0.03,-0.1237,1.4193,2602065,63062355.84,4476330881.54,4440231577.04,2754
2016-10-10,'000502,бл╬╟©ь╧и,24.25,24.35,23.01,23.2,23.18,1.07,4.616,2.1643,3967731,94377977.32,4481875469.75,4445731451.0,4012
2016-09-30,'000502,бл╬╟©ь╧и,23.18,23.83,23.12,23.8,23.61,-0.43,-1.8213,1.8194,3335556,78089679.93,4284118490.26,4249569279.76,2799
2016-09-29,'000502,бл╬╟©ь╧и,23.61,24.14,23.58,23.9,23.91,-0.3,-1.2547,1.2672,2323182,55201415.55,4363590921.27,4328400806.52,2181
2016-09-28,'000502,бл╬╟©ь╧и,23.91,24.68,23.81,24.22,24.22,-0.31,-1.2799,1.8367,3367251,81619074.2,4419036803.37,4383399546.12,3716
2016-09-27,'000502,бл╬╟©ь╧и,24.22,24.24,23.25,23.44,23.24,0.98,4.2169,2.1366,3916951,93354980.86,4476330881.54,4440231577.04,3829
2016-09-26,'000502,бл╬╟©ь╧и,23.24,24.38,23.0,23.82,23.95,-0.71,-2.9645,1.5719,2881718,67858668.97,4295207666.68,4260569027.68,3031
2016-09-23,'000502,бл╬╟©ь╧и,23.95,24.57,23.89,24.55,24.38,-0.43,-1.7637,1.6083,2948405,71148766.18,4426429587.65,4390732711.4,2924
2016-09-22,'000502,бл╬╟©ь╧и,24.38,24.65,23.81,24.0,23.91,0.47,1.9657,3.2321,5925468,143454080.2,4505902018.66,4469564238.16,5194
2016-09-21,'000502,бл╬╟©ь╧и,23.91,24.8,22.98,23.38,23.38,0.53,2.2669,4.6063,8444712,202983008.35,4419036803.37,4383399546.12,6908
2016-09-20,'000502,бл╬╟©ь╧и,23.38,23.48,22.05,22.05,22.02,1.36,6.1762,2.9264,5364899,122083592.96,4321082411.66,4286235106.16,4631
2016-09-19,'000502,бл╬╟©ь╧и,22.02,22.18,21.75,21.98,21.71,0.31,1.4279,1.1645,2134864,46895838.11,4069727746.14,4036907486.64,1717
2016-09-14,'000502,бл╬╟©ь╧и,21.71,21.87,21.61,21.71,21.9,-0.19,-0.8676,1.055,1934102,42055974.12,4012433667.97,3980075455.72,1724
2016-09-13,'000502,бл╬╟©ь╧и,21.9,22.25,21.78,21.78,21.6,0.3,1.3889,1.6814,3082408,67716567.02,4047549393.3,4014907990.8,2288
