�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'300099,蚧醫縐,9.25,9.43,9.17,9.41,9.42,-0.17,-1.8047,2.0969,10946921,101600956.33,4962612346.0,4829066303.5,5785
2016-10-11,'300099,蚧醫縐,9.42,9.54,9.37,9.45,9.46,-0.04,-0.4228,1.7166,8961724,84684719.23,5053817113.44,4917816711.24,4436
2016-10-10,'300099,蚧醫縐,9.46,9.48,9.28,9.33,9.26,0.2,2.1598,1.2356,6450757,60588429.81,5075277058.72,4938699160.12,3801
2016-09-30,'300099,蚧醫縐,9.26,9.29,9.19,9.23,9.2,0.06,0.6522,0.5976,3120005,28846960.1,4967977332.32,4834286915.72,1974
2016-09-29,'300099,蚧醫縐,9.2,9.3,9.13,9.2,9.24,-0.04,-0.4329,1.2746,6654175,61365896.9,4935787414.4,4802963242.4,3632
2016-09-28,'300099,蚧醫縐,9.24,9.5,9.18,9.5,9.51,-0.27,-2.8391,2.1326,11133717,103539075.63,4957247359.68,4823845691.28,5216
2016-09-27,'300099,蚧醫縐,9.51,9.57,9.27,9.28,9.27,0.24,2.589,1.8894,9863756,92570111.95,5102101990.32,4964802221.22,3996
2016-09-26,'300099,蚧醫縐,9.27,9.45,9.25,9.25,9.48,-0.21,-2.2152,1.3883,7247985,67800854.46,4973342318.64,4839507527.94,4184
2016-09-23,'300099,蚧醫縐,9.48,9.76,9.46,9.76,9.77,-0.29,-2.9683,2.4875,12986475,123994663.21,5086007031.36,4949140384.56,6458
2016-09-22,'300099,蚧醫縐,9.77,9.94,9.76,9.86,9.77,0.0,0.0,1.4175,7399965,72765644.86,5241591634.64,5100538138.94,4449
2016-09-21,'300099,蚧醫縐,9.77,9.92,9.69,9.76,9.78,-0.01,-0.1022,1.4994,7827567,76783944.35,5241591634.64,5100538138.94,4757
2016-09-20,'300099,蚧醫縐,9.78,10.08,9.75,10.08,10.07,-0.29,-2.8798,2.5043,13074233,128963130.06,5246956620.96,5105758751.16,7708
2016-09-19,'300099,蚧醫縐,10.07,10.1,9.71,9.82,9.87,0.2,2.0263,3.372,17603932,174664029.49,5402541224.24,5257156505.54,9824
2016-09-14,'300099,蚧醫縐,9.87,9.94,9.52,9.56,9.67,0.2,2.0683,3.7155,19397058,189670795.43,5295241497.84,5152744261.14,10622
2016-09-13,'300099,蚧醫縐,9.67,9.7,9.23,9.34,9.22,0.45,4.8807,2.7994,14614712,138946595.01,5187941771.44,5048332016.74,8962
2016-09-12,'300099,蚧醫縐,9.22,9.44,9.15,9.42,9.67,-0.45,-4.6536,3.6817,19220682,178226036.66,4946517387.04,4813404466.84,9472
2016-09-09,'300099,蚧醫縐,9.67,9.99,9.42,9.46,9.44,0.23,2.4364,4.2569,22223845,216469117.71,5187941771.44,5048332016.74,14733
2016-09-08,'300099,蚧醫縐,9.44,9.47,9.23,9.23,9.22,0.22,2.3861,2.306,12038787,113266844.12,5064547086.08,4928257935.68,7671
2016-09-07,'300099,蚧醫縐,9.22,9.4,9.2,9.3,9.32,-0.1,-1.073,1.7689,9234782,86031948.56,4946517387.04,4813404466.84,5134
2016-09-06,'300099,蚧醫縐,9.32,9.36,9.07,9.2,9.2,0.12,1.3043,1.8871,9851905,91097601.32,5000167250.24,4865610589.04,5629
2016-09-05,'300099,蚧醫縐,9.2,9.34,8.9,8.9,8.98,0.22,2.4499,2.3649,12346180,112599526.8,4935787414.4,4802963242.4,5842
2016-09-02,'300099,蚧醫縐,8.98,9.09,8.85,9.02,9.07,-0.09,-0.9923,1.7306,9034896,80724207.29,4817757715.36,4688109773.56,5440
2016-09-01,'300099,蚧醫縐,9.07,9.22,9.06,9.1,9.08,-0.01,-0.1101,1.4596,7619919,69654969.82,4866042592.24,4735095283.54,4208
2016-08-31,'300099,蚧醫縐,9.08,9.15,9.02,9.13,9.1,-0.02,-0.2198,1.0431,5445552,49372713.8,4871407578.56,4740315895.76,3199
2016-08-30,'300099,蚧醫縐,9.1,9.15,9.06,9.07,9.07,0.03,0.3308,1.0899,5689885,51780287.04,4882137551.2,4750757120.2,3464
