ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ,ГЩНЛБЪЪ§
2016-01-22,'002287,Цце§ВивЉ,29.02,29.5,28.06,29.03,28.76,0.26,0.904,0.5907,2398438,69081701.83,11782120000.0,11782120000.0,3539
2016-01-21,'002287,Цце§ВивЉ,28.76,30.9,28.52,30.03,30.65,-1.89,-6.1664,0.8589,3486933,104710026.43,11676560000.0,11676560000.0,5125
2016-01-20,'002287,Цце§ВивЉ,30.65,30.99,29.61,30.36,30.38,0.27,0.8887,1.1072,4495074,136703948.94,12443900000.0,12443900000.0,6351
2016-01-19,'002287,Цце§ВивЉ,30.38,30.78,29.0,29.37,28.94,1.44,4.9758,1.0627,4314752,129658545.97,12334280000.0,12334280000.0,6026
2016-01-18,'002287,Цце§ВивЉ,28.94,29.5,27.01,27.55,27.98,0.96,3.431,0.805,3268132,93710840.62,11749640000.0,11749640000.0,4953
2016-01-15,'002287,Цце§ВивЉ,27.98,31.18,27.98,30.61,30.7,-2.72,-8.8599,0.9712,3942973,116754497.25,11359880000.0,11359880000.0,6202
2016-01-14,'002287,Цце§ВивЉ,30.7,31.21,28.18,29.12,30.31,0.39,1.2867,1.3728,5573726,164790219.01,12464200000.0,12464200000.0,7611
2016-01-13,'002287,Цце§ВивЉ,30.31,32.37,30.31,31.11,33.68,-3.37,-10.0059,1.3905,5645311,176008529.71,12305860000.0,12305860000.0,7990
2016-01-12,'002287,Цце§ВивЉ,33.68,33.68,33.68,33.68,37.42,-3.74,-9.9947,0.071,288100,9703208.0,13674080000.0,13674080000.0,478
2016-01-11,'002287,Цце§ВивЉ,0.0,0.0,0.0,0.0,37.42,None,None,0.0,0,0.0,15192520000.0,15192520000.0,0
2016-01-08,'002287,Цце§ВивЉ,0.0,0.0,0.0,0.0,37.42,None,None,0.0,0,0.0,15192520000.0,15192520000.0,0
2016-01-07,'002287,Цце§ВивЉ,0.0,0.0,0.0,0.0,37.42,None,None,0.0,0,0.0,15192520000.0,15192520000.0,0
2016-01-06,'002287,Цце§ВивЉ,0.0,0.0,0.0,0.0,37.42,None,None,0.0,0,0.0,15192520000.0,15192520000.0,0
2016-01-05,'002287,Цце§ВивЉ,0.0,0.0,0.0,0.0,37.42,None,None,0.0,0,0.0,15192520000.0,15192520000.0,0
2016-01-04,'002287,Цце§ВивЉ,37.42,41.95,37.42,41.6,41.58,-4.16,-10.0048,1.0946,4444017,173886508.41,15192520000.0,15192520000.0,6975
