»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'000939,ø≠µœ…˙Ã¨,9.31,9.32,9.18,9.27,9.25,0.06,0.6486,1.2401,11697752,108231615.89,14032891983.3,8782204928.0,5239
2016-10-11,'000939,ø≠µœ…˙Ã¨,9.25,9.38,9.2,9.3,9.3,-0.05,-0.5376,1.5565,14682883,135976826.12,13942454441.0,8725606400.0,6568
2016-10-10,'000939,ø≠µœ…˙Ã¨,9.3,9.3,8.84,8.84,8.79,0.51,5.802,2.3783,22434799,205171915.01,14017819059.6,8772771840.0,10238
2016-09-30,'000939,ø≠µœ…˙Ã¨,8.79,8.85,8.78,8.82,8.82,-0.03,-0.3401,0.5321,5019754,44215462.04,13249099949.9,8291684352.0,2517
2016-09-29,'000939,ø≠µœ…˙Ã¨,8.82,8.9,8.8,8.87,8.85,-0.03,-0.339,0.534,5037298,44562024.87,13294318721.0,8319983616.0,2628
2016-09-28,'000939,ø≠µœ…˙Ã¨,8.85,8.95,8.81,8.95,8.9,-0.05,-0.5618,0.5526,5212757,46202980.06,13339537492.2,8348282880.0,2613
2016-09-27,'000939,ø≠µœ…˙Ã¨,8.9,8.92,8.76,8.89,8.84,0.06,0.6787,0.7682,7246438,64004286.95,13414902110.8,8395448320.0,3702
2016-09-26,'000939,ø≠µœ…˙Ã¨,8.84,9.01,8.78,8.9,8.93,-0.09,-1.0078,1.1256,10617764,94441110.93,13324464568.5,8338849792.0,5512
2016-09-23,'000939,ø≠µœ…˙Ã¨,8.93,9.09,8.92,9.07,9.06,-0.13,-1.4349,0.9428,8893048,80058033.22,13460120882.0,8423747584.0,4251
2016-09-22,'000939,ø≠µœ…˙Ã¨,9.06,9.11,8.88,8.88,8.81,0.25,2.8377,1.5567,14684154,132397188.99,13656068890.3,8546377728.0,6896
2016-09-21,'000939,ø≠µœ…˙Ã¨,8.81,8.87,8.78,8.82,8.84,-0.03,-0.3394,0.5672,5350537,47234343.16,13279245797.3,8310550528.0,2370
2016-09-20,'000939,ø≠µœ…˙Ã¨,8.84,8.95,8.83,8.87,8.84,0.0,0.0,0.7727,7289222,64726804.58,13324464568.5,8338849792.0,3326
2016-09-19,'000939,ø≠µœ…˙Ã¨,8.84,8.86,8.73,8.74,8.76,0.08,0.9132,0.64,6037538,53252146.88,13324464568.5,8338849792.0,2875
2016-09-14,'000939,ø≠µœ…˙Ã¨,8.76,8.83,8.69,8.8,8.87,-0.11,-1.2401,0.975,9197233,80480159.91,13203881178.7,8263385088.0,4351
2016-09-13,'000939,ø≠µœ…˙Ã¨,8.87,8.97,8.76,8.8,8.74,0.13,1.4874,1.0052,9481909,83941654.43,13369683339.6,8367149056.0,4455
2016-09-12,'000939,ø≠µœ…˙Ã¨,8.74,9.0,8.72,8.95,9.13,-0.39,-4.2716,2.0164,19020746,168489155.58,13173735331.3,8244518912.0,8510
2016-09-09,'000939,ø≠µœ…˙Ã¨,9.13,9.41,9.13,9.37,9.39,-0.26,-2.7689,1.7026,16060662,148453884.35,13761579356.4,8612409344.0,7784
2016-09-08,'000939,ø≠µœ…˙Ã¨,9.39,9.47,9.23,9.4,9.47,-0.08,-0.8448,2.1196,19994202,186529169.66,14153475373.1,8857669632.0,9651
2016-09-07,'000939,ø≠µœ…˙Ã¨,9.47,9.78,9.14,9.2,9.14,0.33,3.6105,4.9705,46887531,445215756.38,14274058762.8,8933134336.0,22121
2016-09-06,'000939,ø≠µœ…˙Ã¨,9.14,9.18,8.73,8.84,8.85,0.29,3.2768,2.2015,20766770,187345256.96,13776652280.1,8621842432.0,8365
2016-09-05,'000939,ø≠µœ…˙Ã¨,8.85,9.05,8.83,8.98,8.93,-0.08,-0.8959,0.8532,8048658,72033195.06,13339537492.2,8348282880.0,3608
2016-09-02,'000939,ø≠µœ…˙Ã¨,8.93,9.0,8.72,8.93,8.96,-0.03,-0.3348,1.1391,10745673,95339266.79,13460120882.0,8423747584.0,4773
2016-09-01,'000939,ø≠µœ…˙Ã¨,8.96,9.14,8.95,9.05,9.05,-0.09,-0.9945,1.0798,10185850,92017135.22,13505339653.1,8452046848.0,4130
2016-08-31,'000939,ø≠µœ…˙Ã¨,9.05,9.12,8.93,8.95,8.97,0.08,0.8919,1.1296,10655620,96379453.83,13640995966.6,8536944640.0,4926
2016-08-30,'000939,ø≠µœ…˙Ã¨,8.97,9.17,8.93,9.17,9.11,-0.14,-1.5368,1.4371,13556581,122267449.05,13520412576.8,8461479936.0,5805
2016-08-29,'000939,ø≠µœ…˙Ã¨,9.11,9.25,8.73,8.79,8.79,0.32,3.6405,2.3968,22608981,204520973.53,13731433508.9,8593543168.0,9577
2016-08-26,'000939,ø≠µœ…˙Ã¨,8.79,8.9,8.78,8.8,8.79,0.0,0.0,1.0877,10260607,90602687.71,13249099949.9,8291684352.0,4561
