ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2016-10-12,'601021,´ºÇïº½¿Õ,45.59,46.1,45.1,45.71,46.1,-0.51,-1.1063,0.4635,926947,42389192.0,36472000000.0,9118000000.0,None
2016-10-11,'601021,´ºÇïº½¿Õ,46.1,46.2,45.5,45.7,45.54,0.56,1.2297,1.5135,3027095,138942384.0,36880000000.0,9220000000.0,None
2016-10-10,'601021,´ºÇïº½¿Õ,45.54,45.67,45.1,45.31,45.17,0.37,0.8191,0.8632,1726484,78422239.0,36432000000.0,9108000000.0,None
2016-09-30,'601021,´ºÇïº½¿Õ,45.17,45.19,44.98,45.15,45.15,0.02,0.0443,0.4284,856817,38630014.0,36136000000.0,9034000000.0,None
2016-09-29,'601021,´ºÇïº½¿Õ,45.15,45.32,44.91,45.04,45.12,0.03,0.0665,0.703,1405949,63478430.0,36120000000.0,9030000000.0,None
2016-09-28,'601021,´ºÇïº½¿Õ,45.12,45.27,44.97,45.16,45.16,-0.04,-0.0886,0.4653,930681,41967699.0,36096000000.0,9024000000.0,None
2016-09-27,'601021,´ºÇïº½¿Õ,45.16,45.5,44.81,45.05,45.43,-0.27,-0.5943,0.9282,1856370,83593466.0,36128000000.0,9032000000.0,None
2016-09-26,'601021,´ºÇïº½¿Õ,45.43,46.04,45.4,45.63,45.83,-0.4,-0.8728,0.4762,952422,43660441.0,36344000000.0,9086000000.0,None
2016-09-23,'601021,´ºÇïº½¿Õ,45.83,46.06,45.78,45.91,45.96,-0.13,-0.2829,0.6474,1294717,59433453.0,36664000000.0,9166000000.0,None
2016-09-22,'601021,´ºÇïº½¿Õ,45.96,46.18,45.91,46.18,45.91,0.05,0.1089,0.8169,1633875,75228173.0,36768000000.0,9192000000.0,None
2016-09-21,'601021,´ºÇïº½¿Õ,45.91,46.06,45.78,45.92,45.92,-0.01,-0.0218,0.621,1242060,57102634.0,36728000000.0,9182000000.0,None
2016-09-20,'601021,´ºÇïº½¿Õ,45.92,46.16,45.66,45.99,46.09,-0.17,-0.3688,0.6921,1384206,63434181.0,36736000000.0,9184000000.0,None
2016-09-19,'601021,´ºÇïº½¿Õ,46.09,46.32,45.79,46.2,46.01,0.08,0.1739,0.7195,1438941,66170448.0,36872000000.0,9218000000.0,None
2016-09-14,'601021,´ºÇïº½¿Õ,46.01,46.03,45.51,45.96,46.03,-0.02,-0.0434,0.5009,1001804,45775339.0,36808000000.0,9202000000.0,None
2016-09-13,'601021,´ºÇïº½¿Õ,46.03,46.31,45.54,46.0,45.96,0.07,0.1523,0.6148,1229639,56354854.0,36824000000.0,9206000000.0,None
2016-09-12,'601021,´ºÇïº½¿Õ,45.96,46.65,45.83,46.6,46.82,-0.86,-1.8368,0.9475,1894995,87463839.0,36768000000.0,9192000000.0,None
2016-09-09,'601021,´ºÇïº½¿Õ,46.82,46.97,46.7,46.8,46.99,-0.17,-0.3618,0.7194,1438798,67326279.0,37456000000.0,9364000000.0,None
2016-09-08,'601021,´ºÇïº½¿Õ,46.99,47.35,46.75,47.33,47.24,-0.25,-0.5292,1.6321,3264157,152887657.0,37592000000.0,9398000000.0,None
2016-09-07,'601021,´ºÇïº½¿Õ,47.24,47.94,47.2,47.25,47.53,-0.29,-0.6101,0.7401,1480240,70437722.0,37792000000.0,9448000000.0,None
2016-09-06,'601021,´ºÇïº½¿Õ,47.53,47.61,47.02,47.03,47.01,0.52,1.1061,0.7104,1420823,67216170.0,38024000000.0,9506000000.0,None
2016-09-05,'601021,´ºÇïº½¿Õ,47.01,47.3,46.8,47.22,47.11,-0.1,-0.2123,0.5811,1162244,54758773.0,37608000000.0,9402000000.0,None
2016-09-02,'601021,´ºÇïº½¿Õ,47.11,47.25,46.85,46.86,46.95,0.16,0.3408,0.5389,1077835,50660627.0,37688000000.0,9422000000.0,None
2016-09-01,'601021,´ºÇïº½¿Õ,46.95,47.27,46.81,46.97,46.9,0.05,0.1066,0.9023,1804551,84752446.0,37560000000.0,9390000000.0,None
2016-08-31,'601021,´ºÇïº½¿Õ,46.9,47.15,46.7,47.08,47.08,-0.18,-0.3823,0.9828,1965578,92099473.0,37520000000.0,9380000000.0,None
2016-08-30,'601021,´ºÇïº½¿Õ,47.08,48.16,46.66,48.16,48.02,-0.94,-1.9575,2.982,5963917,280499176.0,37664000000.0,9416000000.0,None
2016-08-29,'601021,´ºÇïº½¿Õ,48.02,48.3,47.9,48.3,48.3,-0.28,-0.5797,0.7455,1490971,71534857.0,38416000000.0,9604000000.0,None
2016-08-26,'601021,´ºÇïº½¿Õ,48.3,48.68,47.69,47.69,47.99,0.31,0.646,1.0751,2150104,103987731.0,38640000000.0,9660000000.0,None
2016-08-25,'601021,´ºÇïº½¿Õ,47.99,48.51,47.51,48.0,48.98,-0.99,-2.0212,1.4849,2969822,142225226.0,38392000000.0,9598000000.0,None
2016-08-24,'601021,´ºÇïº½¿Õ,48.98,51.8,48.36,50.0,49.94,-0.96,-1.9223,2.5901,5180113,254653982.0,39184000000.0,9796000000.0,None
2016-08-23,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
2016-08-22,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
2016-08-19,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
2016-08-18,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
2016-08-17,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
2016-08-16,'601021,´ºÇïº½¿Õ,0.0,0.0,0.0,0.0,49.94,None,None,0.0,0,0.0,39952000000.0,9988000000.0,None
