�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2016-10-12,'002032,劼 眼 嫌,37.7,38.09,37.41,37.75,38.1,-0.4,-1.0499,0.1637,768927,28994082.1,23817566890.0,17703955475.7,1461
2016-10-11,'002032,劼 眼 嫌,38.1,38.39,37.98,38.39,38.17,-0.07,-0.1834,0.1462,686433,26171267.74,24070273170.0,17891795852.1,1814
2016-10-10,'002032,劼 眼 嫌,38.17,38.85,37.81,38.6,38.43,-0.26,-0.6766,0.2614,1227396,46787979.45,24114496769.0,17924667918.0,3753
2016-09-30,'002032,劼 眼 嫌,38.43,38.47,37.36,37.55,37.57,0.86,2.2891,0.2525,1185763,45288489.04,24278755851.0,18046764162.6,2204
2016-09-29,'002032,劼 眼 嫌,37.57,37.6,37.22,37.22,37.01,0.56,1.5131,0.1308,614069,23015405.01,23735437349.0,17642907353.4,1477
2016-09-28,'002032,劼 眼 嫌,37.01,37.09,36.81,37.05,36.8,0.21,0.5707,0.1009,473799,17534778.67,23381648557.0,17379930826.4,1748
2016-09-27,'002032,劼 眼 嫌,36.8,37.04,36.5,36.5,36.84,-0.04,-0.1086,0.1129,530173,19505012.0,23248977760.0,17281314628.8,953
2016-09-26,'002032,劼 眼 嫌,36.84,37.48,36.79,37.3,37.28,-0.44,-1.1803,0.1058,496610,18507121.39,23274248388.0,17300098666.4,1172
2016-09-23,'002032,劼 眼 嫌,37.28,37.38,37.11,37.23,37.23,0.05,0.1343,0.0863,405314,15102856.99,23552225296.0,17506723080.5,710
2016-09-22,'002032,劼 眼 嫌,37.23,37.62,37.06,37.35,37.15,0.08,0.2153,0.1515,711612,26522687.95,23520637011.0,17483243033.4,1350
2016-09-21,'002032,劼 眼 嫌,37.15,37.28,37.05,37.17,37.16,-0.01,-0.0269,0.0798,374802,13936469.77,23470095755.0,17445674958.2,751
2016-09-20,'002032,劼 眼 嫌,37.16,37.28,37.04,37.28,37.12,0.04,0.1078,0.0687,322411,11967954.1,23476413412.0,17450370967.6,492
2016-09-19,'002032,劼 眼 嫌,37.12,37.19,36.81,36.84,36.88,0.24,0.6508,0.087,408555,15105479.82,23451142784.0,17431586929.9,843
2016-09-14,'002032,劼 眼 嫌,36.88,37.48,36.69,37.39,37.42,-0.54,-1.4431,0.2046,960836,35655829.74,23299519016.0,17318882704.1,1169
2016-09-13,'002032,劼 眼 嫌,37.42,37.68,36.6,37.28,37.08,0.34,0.9169,0.2663,1250715,46298961.34,23640672494.0,17572467212.2,2775
2016-09-12,'002032,劼 眼 嫌,37.08,37.6,37.0,37.21,37.8,-0.72,-1.9048,0.3338,1567446,58495914.02,23425872156.0,17412802892.3,3843
2016-09-09,'002032,劼 眼 嫌,37.8,38.21,37.7,38.21,38.2,-0.4,-1.0471,0.3382,1588248,60149974.59,23880743460.0,17750915569.8,3834
2016-09-08,'002032,劼 眼 嫌,38.2,38.79,38.01,38.39,38.23,-0.03,-0.0785,0.3168,1487853,56938586.63,24133449740.0,17938755946.2,4043
2016-09-07,'002032,劼 眼 嫌,38.23,39.09,38.0,38.6,38.81,-0.58,-1.4945,0.3859,1812166,69863871.06,24152402711.0,17952843974.4,3696
2016-09-06,'002032,劼 眼 嫌,38.81,39.0,38.3,38.95,38.57,0.24,0.6222,0.3656,1716633,66558920.02,24518826817.0,18225212520.2,3145
2016-09-05,'002032,劼 眼 嫌,38.57,38.58,37.5,37.6,37.66,0.91,2.4164,0.3461,1625071,62189452.88,24367203049.0,18112508294.4,3560
2016-09-02,'002032,劼 眼 嫌,37.66,37.96,36.96,37.68,37.66,0.0,0.0,0.2927,1374743,51335533.0,23792296262.0,17685171438.1,2793
