хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2016-10-12,'300173,жг╩шки╣б,17.08,17.25,16.95,17.24,17.24,-0.16,-0.9281,0.6461,2617699,44522885.87,10011962991.2,6919681102.32,2298
2016-10-11,'300173,жг╩шки╣б,17.24,17.47,17.16,17.42,17.32,-0.08,-0.4619,0.7126,2887129,49814089.75,10105751871.7,6984502470.96,2171
2016-10-10,'300173,жг╩шки╣б,17.32,17.54,17.09,17.29,17.24,0.08,0.464,0.8325,3372884,58309094.35,10152646312.0,7016913155.28,2515
2016-09-30,'300173,жг╩шки╣б,17.24,17.27,17.02,17.2,17.15,0.09,0.5248,0.5905,2392308,41145023.95,10105751871.7,6984502470.96,1851
2016-09-29,'300173,жг╩шки╣б,17.15,17.32,16.87,16.91,16.94,0.21,1.2397,0.8672,3513256,60344362.2,10052995626.5,6948040451.1,2905
2016-09-28,'300173,жг╩шки╣б,16.94,17.33,16.93,17.06,17.21,-0.27,-1.5689,0.9015,3652354,62428921.42,9929897720.82,6862962404.76,3231
2016-09-27,'300173,жг╩шки╣б,17.21,17.28,16.53,16.72,16.72,0.49,2.9306,1.3188,5342940,90294048.23,10088166456.6,6972348464.34,4504
2016-09-26,'300173,жг╩шки╣б,16.72,17.04,16.35,16.35,16.43,0.29,1.7651,1.1565,4685426,78427639.24,9800938010.16,6773833022.88,4435
2016-09-23,'300173,жг╩шки╣б,16.43,16.65,16.18,16.3,16.21,0.22,1.3572,0.5945,2408520,39630117.55,9630945664.29,6656344292.22,2509
2016-09-22,'300173,жг╩шки╣б,16.21,16.39,16.15,16.15,16.1,0.11,0.6832,0.5419,2195561,35735375.0,9501985953.63,6567214910.34,1899
2016-09-21,'300173,жг╩шки╣б,16.1,16.2,16.0,16.2,16.05,0.05,0.3115,0.4585,1857385,29913499.56,9437506098.3,6522650219.4,1344
2016-09-20,'300173,жг╩шки╣б,16.05,16.25,15.97,16.11,16.17,-0.12,-0.7421,0.5239,2122477,34091063.76,9408197073.15,6502393541.7,1392
2016-09-19,'300173,жг╩шки╣б,16.17,16.27,15.92,15.96,15.93,0.24,1.5066,0.7819,3167678,50921801.68,9478538733.51,6551009568.18,2497
2016-09-14,'300173,жг╩шки╣б,15.93,16.12,15.75,15.9,16.12,-0.19,-1.1787,0.563,2280942,36362154.48,9337855412.79,6453777515.22,2025
2016-09-13,'300173,жг╩шки╣б,16.12,16.37,16.03,16.14,16.12,0.0,0.0,0.5353,2168612,34998767.85,9449229708.36,6530752890.48,2261
2016-09-12,'300173,жг╩шки╣б,16.12,16.41,16.02,16.2,16.95,-0.83,-4.8968,1.1933,4834622,78316818.41,9449229708.36,6530752890.48,3882
2016-09-09,'300173,жг╩шки╣б,16.95,17.55,16.91,17.35,17.26,-0.31,-1.7961,1.2136,4916842,84608984.03,9935759525.85,6867013740.3,4591
2016-09-08,'300173,жг╩шки╣б,17.26,17.31,17.0,17.2,17.09,0.17,0.9947,1.1732,4753203,81594920.81,10117475481.8,6992605142.04,4047
2016-09-07,'300173,жг╩шки╣б,17.09,17.4,16.76,16.85,16.88,0.21,1.2441,1.6504,6686460,114909797.09,10017824796.3,6923732437.86,6139
2016-09-06,'300173,жг╩шки╣б,16.88,16.9,16.42,16.5,16.5,0.38,2.303,1.1673,4729298,79022337.76,9894726890.64,6838654391.52,4127
2016-09-05,'300173,жг╩шки╣б,16.5,16.78,16.4,16.49,16.38,0.12,0.7326,0.886,3589421,59515348.2,9671978299.5,6684703641.0,3117
2016-09-02,'300173,жг╩шки╣б,16.38,16.78,16.32,16.5,16.69,-0.31,-1.8574,1.1355,4600430,75995647.82,9601636639.14,6636087614.52,3891
2016-09-01,'300173,жг╩шки╣б,16.69,17.1,16.61,16.62,16.84,-0.15,-0.8907,1.1521,4667513,78567724.13,9783352595.07,6761679016.26,4157
2016-08-31,'300173,жг╩шки╣б,16.84,17.28,16.4,17.04,17.04,-0.2,-1.1737,1.4913,6041880,101171322.32,9871279670.52,6822449049.36,5614
2016-08-30,'300173,жг╩шки╣б,17.04,17.32,16.82,17.07,17.1,-0.06,-0.3509,1.6084,6516015,111128432.27,9988515771.12,6903475760.16,6540
2016-08-29,'300173,жг╩шки╣б,17.1,18.01,16.65,18.0,18.3,-1.2,-6.5574,3.9805,16126374,277867430.68,10023686601.3,6927783773.4,13448
2016-08-26,'300173,жг╩шки╣б,18.3,19.35,18.3,18.82,19.38,-1.08,-5.5728,4.5144,18289449,342893672.45,10727103204.9,7413944038.2,17118
2016-08-25,'300173,жг╩шки╣б,19.38,19.67,18.31,18.69,17.88,1.5,8.3893,7.4151,30040876,572511809.69,11360178148.1,7851488276.52,25064
2016-08-24,'300173,жг╩шки╣б,17.88,17.88,17.88,17.88,16.25,1.63,10.0308,0.2396,970745,17356920.6,10480907393.6,7243787945.52,333
2016-08-23,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-22,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-19,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-18,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-17,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-16,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-15,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-12,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-11,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-10,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-09,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-08,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-05,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-04,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-03,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-02,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-08-01,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-29,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-28,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-27,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-26,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-25,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-22,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-21,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-20,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-19,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-18,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-15,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-14,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-13,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-12,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-11,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-08,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-07,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-06,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
2016-07-05,'300173,жг╩шки╣б,0.0,0.0,0.0,0.0,16.25,None,None,0.0,0,0.0,9525433173.75,6583420252.5,0
