����,��Ʊ����,����,���̼�,��߼�,��ͼ�,���̼�,ǰ����,�ǵ���,�ǵ���,������,�ɽ���,�ɽ����,����ֵ,��ͨ��ֵ,�ɽ�����
2016-10-12,'002557,ǢǢʳƷ,18.08,18.29,18.0,18.13,18.17,-0.09,-0.4953,0.3661,1856268,33695201.94,9166560000.0,9166560000.0,2250
2016-10-11,'002557,ǢǢʳƷ,18.17,18.37,18.12,18.24,18.21,-0.04,-0.2197,0.6672,3382500,61783938.07,9212190000.0,9212190000.0,4890
2016-10-10,'002557,ǢǢʳƷ,18.21,18.27,17.81,17.81,17.81,0.4,2.2459,0.682,3457804,62669025.31,9232470000.0,9232470000.0,3241
2016-09-30,'002557,ǢǢʳƷ,17.81,17.93,17.6,17.65,17.69,0.12,0.6783,0.4434,2248199,40005222.54,9029670000.0,9029670000.0,2025
2016-09-29,'002557,ǢǢʳƷ,17.69,17.8,17.52,17.6,17.52,0.17,0.9703,0.3261,1653086,29262235.1,8968830000.0,8968830000.0,1732
2016-09-28,'002557,ǢǢʳƷ,17.52,17.72,17.45,17.52,17.53,-0.01,-0.057,0.2334,1183328,20808248.44,8882640000.0,8882640000.0,1549
2016-09-27,'002557,ǢǢʳƷ,17.53,17.54,17.28,17.38,17.34,0.19,1.0957,0.293,1485549,25818031.62,8887710000.0,8887710000.0,1933
2016-09-26,'002557,ǢǢʳƷ,17.34,17.65,17.32,17.52,17.62,-0.28,-1.5891,0.3378,1712600,29983295.43,8791380000.0,8791380000.0,2043
2016-09-23,'002557,ǢǢʳƷ,17.62,17.88,17.52,17.78,17.77,-0.15,-0.8441,0.3967,2011292,35475415.03,8933340000.0,8933340000.0,2110
2016-09-22,'002557,ǢǢʳƷ,17.77,18.02,17.73,17.8,17.75,0.02,0.1127,0.3432,1739939,31097177.98,9009390000.0,9009390000.0,2136
2016-09-21,'002557,ǢǢʳƷ,17.75,17.83,17.69,17.7,17.71,0.04,0.2259,0.2361,1196800,21255432.5,8999250000.0,8999250000.0,1100
2016-09-20,'002557,ǢǢʳƷ,17.71,17.87,17.64,17.85,17.8,-0.09,-0.5056,0.276,1399392,24835982.48,8978970000.0,8978970000.0,1311
2016-09-19,'002557,ǢǢʳƷ,17.8,17.9,17.56,17.6,17.67,0.13,0.7357,0.3233,1639357,29199755.96,9024600000.0,9024600000.0,1753
2016-09-14,'002557,ǢǢʳƷ,17.67,17.75,17.49,17.57,17.64,0.03,0.1701,0.3395,1721016,30413581.24,8958690000.0,8958690000.0,1503
2016-09-13,'002557,ǢǢʳƷ,17.64,17.69,17.51,17.6,17.5,0.14,0.8,0.2669,1353053,23836913.0,8943480000.0,8943480000.0,1970
2016-09-12,'002557,ǢǢʳƷ,17.5,18.09,17.48,18.0,18.25,-0.75,-4.1096,0.9596,4865341,86233434.29,8872500000.0,8872500000.0,5529
2016-09-09,'002557,ǢǢʳƷ,18.25,18.38,18.1,18.3,18.27,-0.02,-0.1095,0.6178,3132423,57159847.42,9252750000.0,9252750000.0,3330
2016-09-08,'002557,ǢǢʳƷ,18.27,18.75,18.2,18.68,18.68,-0.41,-2.1949,0.8603,4361537,80389938.56,9262890000.0,9262890000.0,3548
2016-09-07,'002557,ǢǢʳƷ,18.68,18.82,18.51,18.55,18.55,0.13,0.7008,0.4734,2400241,44909812.45,9470760000.0,9470760000.0,2400
2016-09-06,'002557,ǢǢʳƷ,18.55,18.6,18.21,18.4,18.47,0.08,0.4331,0.3525,1787081,32935030.39,9404850000.0,9404850000.0,2014
2016-09-05,'002557,ǢǢʳƷ,18.47,18.5,18.14,18.31,18.34,0.13,0.7088,0.684,3467754,63452312.21,9364290000.0,9364290000.0,3912
2016-09-02,'002557,ǢǢʳƷ,18.34,18.58,18.18,18.54,18.54,-0.2,-1.0787,0.6182,3134467,57522667.3,9298380000.0,9298380000.0,3094
2016-09-01,'002557,ǢǢʳƷ,18.54,18.85,18.5,18.76,18.75,-0.21,-1.12,0.3995,2025372,37731238.83,9399780000.0,9399780000.0,2312
2016-08-31,'002557,ǢǢʳƷ,18.75,19.05,18.71,18.88,18.9,-0.15,-0.7937,0.4642,2353410,44428911.57,9506250000.0,9506250000.0,3368
2016-08-30,'002557,ǢǢʳƷ,18.9,19.08,18.79,18.84,18.77,0.13,0.6926,0.4136,2096810,39756373.56,9582300000.0,9582300000.0,3478
2016-08-29,'002557,ǢǢʳƷ,18.77,18.89,18.71,18.84,18.84,-0.07,-0.3715,0.3703,1877508,35294566.36,9516390000.0,9516390000.0,3054
2016-08-26,'002557,ǢǢʳƷ,18.84,18.94,18.55,18.75,18.76,0.08,0.4264,0.5966,3024693,56802921.92,9551880000.0,9551880000.0,3332
2016-08-25,'002557,ǢǢʳƷ,18.76,18.78,18.4,18.62,18.75,0.01,0.0533,0.7009,3553544,66064047.35,9511320000.0,9511320000.0,3279
2016-08-24,'002557,ǢǢʳƷ,18.75,18.95,18.7,18.84,18.84,-0.09,-0.4777,0.4732,2399266,45069295.41,9506250000.0,9506250000.0,2419
2016-08-23,'002557,ǢǢʳƷ,18.84,19.05,18.79,18.91,18.92,-0.08,-0.4228,0.6032,3058447,57850144.81,9551880000.0,9551880000.0,2781
2016-08-22,'002557,ǢǢʳƷ,18.92,19.05,18.7,18.92,18.91,0.01,0.0529,0.5357,2715834,51254368.28,9592440000.0,9592440000.0,2559
2016-08-19,'002557,ǢǢʳƷ,18.91,18.94,18.75,18.83,18.85,0.06,0.3183,0.3993,2024514,38130417.43,9587370000.0,9587370000.0,2429
2016-08-18,'002557,ǢǢʳƷ,18.85,19.04,18.79,19.0,19.0,-0.15,-0.7895,0.5346,2710389,51225490.56,9556950000.0,9556950000.0,3365
2016-08-17,'002557,ǢǢʳƷ,19.0,19.11,18.79,18.92,18.96,0.04,0.211,0.637,3229664,61168047.53,9633000000.0,9633000000.0,3136
2016-08-16,'002557,ǢǢʳƷ,18.96,19.03,18.78,18.95,18.99,-0.03,-0.158,0.9201,4664871,88227499.11,9612720000.0,9612720000.0,3791
2016-08-15,'002557,ǢǢʳƷ,18.99,19.1,18.55,18.75,18.75,0.24,1.28,1.0991,5572586,105113891.14,9627930000.0,9627930000.0,5478
2016-08-12,'002557,ǢǢʳƷ,18.75,18.84,18.46,18.46,18.78,-0.03,-0.1597,0.5692,2885655,53934707.91,9506250000.0,9506250000.0,4413
2016-08-11,'002557,ǢǢʳƷ,18.78,19.16,18.75,18.93,19.0,-0.22,-1.1579,0.5312,2693178,51011042.21,9521460000.0,9521460000.0,3198
2016-08-10,'002557,ǢǢʳƷ,19.0,19.48,19.0,19.24,19.24,-0.24,-1.2474,0.447,2266216,43307448.6,9633000000.0,9633000000.0,2720
2016-08-09,'002557,ǢǢʳƷ,19.24,19.28,19.02,19.13,19.27,-0.03,-0.1557,0.5499,2787999,53494636.29,9754680000.0,9754680000.0,2656
2016-08-08,'002557,ǢǢʳƷ,19.27,19.4,18.81,18.9,18.98,0.29,1.5279,0.7066,3582531,68632933.1,9769890000.0,9769890000.0,3517
2016-08-05,'002557,ǢǢʳƷ,18.98,19.8,18.96,19.1,19.32,-0.34,-1.7598,1.7154,8697198,168258791.25,9622860000.0,9622860000.0,7496
2016-08-04,'002557,ǢǢʳƷ,19.32,19.38,18.6,18.67,18.67,0.65,3.4815,1.4108,7152863,135810511.32,9795240000.0,9795240000.0,5551
2016-08-03,'002557,ǢǢʳƷ,18.67,18.73,18.5,18.51,18.65,0.02,0.1072,0.6605,3348907,62322493.07,9465690000.0,9465690000.0,2686
2016-08-02,'002557,ǢǢʳƷ,18.65,18.74,18.39,18.5,18.53,0.12,0.6476,0.6975,3536237,65798821.79,9455550000.0,9455550000.0,3671
2016-08-01,'002557,ǢǢʳƷ,18.53,19.99,18.4,19.99,20.24,-1.71,-8.4486,2.4365,12353067,233968143.25,9394710000.0,9394710000.0,11301
2016-07-29,'002557,ǢǢʳƷ,20.24,20.68,20.18,20.45,20.56,-0.32,-1.5564,1.1958,6062669,124107708.54,10261680000.0,10261680000.0,5519
2016-07-28,'002557,ǢǢʳƷ,20.56,20.57,19.42,19.53,19.53,1.03,5.2739,1.8237,9246173,185488616.9,10423920000.0,10423920000.0,7284
2016-07-27,'002557,ǢǢʳƷ,19.53,20.47,19.1,20.18,20.3,-0.77,-3.7931,1.5223,7718102,152082302.19,9901710000.0,9901710000.0,7197
2016-07-26,'002557,ǢǢʳƷ,20.3,20.4,19.9,20.08,20.06,0.24,1.1964,1.3312,6748933,135860965.75,10292100000.0,10292100000.0,5948
2016-07-25,'002557,ǢǢʳƷ,20.06,20.21,19.37,19.37,19.5,0.56,2.8718,1.7006,8622190,172413994.26,10170420000.0,10170420000.0,7417
2016-07-22,'002557,ǢǢʳƷ,19.5,19.63,19.2,19.37,19.41,0.09,0.4637,0.8286,4200995,81686525.5,9886500000.0,9886500000.0,3889
2016-07-21,'002557,ǢǢʳƷ,19.41,19.68,19.25,19.26,19.24,0.17,0.8836,1.0185,5163621,100611875.79,9840870000.0,9840870000.0,4468
2016-07-20,'002557,ǢǢʳƷ,19.24,19.44,19.19,19.37,19.3,-0.06,-0.3109,0.644,3264969,62950496.41,9754680000.0,9754680000.0,2913
2016-07-19,'002557,ǢǢʳƷ,19.3,19.76,19.15,19.42,19.51,-0.21,-1.0764,0.9291,4710379,91190214.06,9785100000.0,9785100000.0,4868
