ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต,ณษฝปฑสสý
2016-10-12,'002615,นþถ๛หน,18.38,19.08,18.01,18.5,17.4,0.98,5.6322,5.2582,14386453,266584426.32,5028768000.0,5028768000.0,15923
2016-10-11,'002615,นþถ๛หน,17.4,17.5,16.95,17.15,17.06,0.34,1.993,1.5006,4105565,71233165.47,4760640000.0,4760640000.0,5698
2016-10-10,'002615,นþถ๛หน,17.06,17.08,16.83,16.94,16.84,0.22,1.3064,0.994,2719608,46237908.18,4667616000.0,4667616000.0,4036
2016-09-30,'002615,นþถ๛หน,16.84,16.93,16.78,16.81,16.81,0.03,0.1785,0.6736,1842904,31030023.22,4607424000.0,4607424000.0,1746
2016-09-29,'002615,นþถ๛หน,16.81,16.99,16.81,16.85,16.85,-0.04,-0.2374,0.5681,1554450,26265821.12,4599216000.0,4599216000.0,2232
2016-09-28,'002615,นþถ๛หน,16.85,17.12,16.84,17.05,17.05,-0.2,-1.173,0.8339,2281648,38601568.54,4610160000.0,4610160000.0,2702
2016-09-27,'002615,นþถ๛หน,17.05,17.15,16.8,16.8,16.88,0.17,1.0071,0.9993,2734129,46495695.66,4664880000.0,4664880000.0,3570
2016-09-26,'002615,นþถ๛หน,16.88,17.1,16.83,16.83,16.88,0.0,0.0,1.3294,3637129,61721189.58,4618368000.0,4618368000.0,4524
2016-09-23,'002615,นþถ๛หน,16.88,17.02,16.64,16.95,16.81,0.07,0.4164,1.1575,3167000,53469617.17,4618368000.0,4618368000.0,4052
2016-09-22,'002615,นþถ๛หน,16.81,17.05,16.78,16.83,16.71,0.1,0.5984,0.9768,2672578,45253161.04,4599216000.0,4599216000.0,3674
2016-09-21,'002615,นþถ๛หน,16.71,16.8,16.65,16.65,16.73,-0.02,-0.1195,0.5683,1554955,25986917.36,4571856000.0,4571856000.0,2236
2016-09-20,'002615,นþถ๛หน,16.73,17.12,16.66,17.12,17.0,-0.27,-1.5882,1.0298,2817418,47302125.87,4577328000.0,4577328000.0,4103
2016-09-19,'002615,นþถ๛หน,17.0,17.15,16.62,16.63,16.57,0.43,2.5951,1.4424,3946466,66717088.4,4651200000.0,4651200000.0,5131
2016-09-14,'002615,นþถ๛หน,16.57,16.8,16.3,16.56,16.64,-0.07,-0.4207,0.8988,2459200,40738497.5,4533552000.0,4533552000.0,4545
2016-09-13,'002615,นþถ๛หน,16.64,17.0,16.5,16.96,16.81,-0.17,-1.0113,1.4947,4089576,68116074.98,4552704000.0,4552704000.0,5472
2016-09-12,'002615,นþถ๛หน,16.81,17.41,16.8,17.4,17.65,-0.84,-4.7592,1.4693,4019933,68797689.21,4599216000.0,4599216000.0,6069
2016-09-09,'002615,นþถ๛หน,17.65,17.85,17.64,17.85,17.82,-0.17,-0.954,1.037,2837168,50246432.9,4829040000.0,4829040000.0,4356
2016-09-08,'002615,นþถ๛หน,17.82,18.08,17.72,17.89,18.05,-0.23,-1.2742,1.45,3967179,70718525.47,4875552000.0,4875552000.0,5678
2016-09-07,'002615,นþถ๛หน,18.05,18.38,17.75,17.98,17.98,0.07,0.3893,2.129,5824951,105602368.64,4938480000.0,4938480000.0,8089
2016-09-06,'002615,นþถ๛หน,17.98,18.09,17.43,18.05,18.32,-0.34,-1.8559,1.9921,5450435,96930692.0,4919328000.0,4919328000.0,7841
