»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2016-10-12,'000570,À’≥£≤Ò£¡,9.6,9.75,9.49,9.66,9.73,-0.13,-1.3361,2.3325,9595133,92158013.54,5389193529.6,3949193529.6,4424
2016-10-11,'000570,À’≥£≤Ò£¡,9.73,9.76,9.55,9.65,9.56,0.17,1.7782,3.176,13065290,126297741.11,5462172191.98,4002672191.98,5689
2016-10-10,'000570,À’≥£≤Ò£¡,9.56,9.66,9.5,9.5,9.42,0.14,1.4862,3.164,13015807,124652568.27,5366738556.56,3932738556.56,5288
2016-09-30,'000570,À’≥£≤Ò£¡,9.42,9.79,9.35,9.69,9.6,-0.18,-1.875,3.9248,16145488,154710043.84,5288146150.92,3875146150.92,7081
2016-09-29,'000570,À’≥£≤Ò£¡,9.6,9.7,9.37,9.52,9.5,0.1,1.0526,3.6238,14907327,142714733.69,5389193529.6,3949193529.6,7136
2016-09-28,'000570,À’≥£≤Ò£¡,9.5,9.65,9.37,9.54,9.57,-0.07,-0.7315,3.4497,14191114,134679668.38,5333056097.0,3908056097.0,7705
2016-09-27,'000570,À’≥£≤Ò£¡,9.57,9.64,9.17,9.38,9.32,0.25,2.6824,6.4349,26471406,249313990.03,5372352299.82,3936852299.82,12748
2016-09-26,'000570,À’≥£≤Ò£¡,9.32,9.67,9.28,9.28,9.22,0.1,1.0846,7.7022,31685057,300113706.71,5232008718.32,3834008718.32,14896
2016-09-23,'000570,À’≥£≤Ò£¡,9.22,9.42,9.05,9.14,9.13,0.09,0.9858,7.6733,31565934,291813293.48,5175871285.72,3792871285.72,10041
2016-09-22,'000570,À’≥£≤Ò£¡,9.13,9.4,8.99,9.0,8.97,0.16,1.7837,7.2983,30023158,277230289.12,5125347596.38,3755847596.38,11026
2016-09-21,'000570,À’≥£≤Ò£¡,8.97,9.08,8.92,8.96,9.0,-0.03,-0.3333,1.6485,6781512,60975947.48,5035527704.22,3690027704.22,2854
2016-09-20,'000570,À’≥£≤Ò£¡,9.0,9.09,8.9,8.92,8.9,0.1,1.1236,3.2863,13519051,121735597.67,5052368934.0,3702368934.0,5901
2016-09-19,'000570,À’≥£≤Ò£¡,8.9,8.92,8.77,8.8,8.81,0.09,1.0216,1.4595,6003930,53007237.35,4996231501.4,3661231501.4,2525
2016-09-14,'000570,À’≥£≤Ò£¡,8.81,8.95,8.74,8.82,8.86,-0.05,-0.5643,1.5741,6475511,57370682.96,4945707812.06,3624207812.06,3155
2016-09-13,'000570,À’≥£≤Ò£¡,8.86,8.89,8.72,8.75,8.75,0.11,1.2571,1.64,6746607,59504628.18,4973776528.36,3644776528.36,3115
2016-09-12,'000570,À’≥£≤Ò£¡,8.75,8.91,8.54,8.65,8.76,-0.01,-0.1142,3.0236,12438191,108523021.39,4912025352.5,3599525352.5,5890
2016-09-09,'000570,À’≥£≤Ò£¡,8.76,8.9,8.74,8.8,8.84,-0.08,-0.905,1.8673,7681407,67644054.78,4917639095.76,3603639095.76,3585
2016-09-08,'000570,À’≥£≤Ò£¡,8.84,8.99,8.77,8.92,8.91,-0.07,-0.7856,2.7674,11384237,100549905.78,4962549041.84,3636549041.84,4695
2016-09-07,'000570,À’≥£≤Ò£¡,8.91,9.29,8.91,8.95,8.94,-0.03,-0.3356,5.0957,20962564,190388070.88,5001845244.66,3665345244.66,7954
2016-09-06,'000570,À’≥£≤Ò£¡,8.94,9.05,8.8,8.9,8.94,0.0,0.0,2.7206,11191906,100242759.05,5018686474.44,3677686474.44,5390
2016-09-05,'000570,À’≥£≤Ò£¡,8.94,9.02,8.68,8.78,8.77,0.17,1.9384,4.2216,17366606,154291813.96,5018686474.44,3677686474.44,8241
2016-09-02,'000570,À’≥£≤Ò£¡,8.77,8.82,8.45,8.53,8.51,0.26,3.0552,2.946,12119134,104860352.0,4923252839.02,3607752839.02,6302
2016-09-01,'000570,À’≥£≤Ò£¡,8.51,8.72,8.49,8.65,8.64,-0.13,-1.5046,1.4086,5794464,49885238.16,4777295514.26,3500795514.26,2971
2016-08-31,'000570,À’≥£≤Ò£¡,8.64,8.78,8.62,8.75,8.78,-0.14,-1.5945,1.3384,5505862,47681978.04,4850274176.64,3554274176.64,3275
2016-08-30,'000570,À’≥£≤Ò£¡,8.78,8.88,8.67,8.7,8.67,0.11,1.2687,2.563,10543419,92538154.57,4928866582.28,3611866582.28,6091
2016-08-29,'000570,À’≥£≤Ò£¡,8.67,8.74,8.47,8.5,8.5,0.17,2.0,2.0223,8319381,71795392.69,4867115406.42,3566615406.42,4342
2016-08-26,'000570,À’≥£≤Ò£¡,8.5,8.57,8.42,8.44,8.41,0.09,1.0702,1.1893,4892407,41625230.3,4771681771.0,3496681771.0,3107
2016-08-25,'000570,À’≥£≤Ò£¡,8.41,8.53,8.35,8.53,8.53,-0.12,-1.4068,1.1664,4798066,40444133.95,4721158081.66,3459658081.66,3033
2016-08-24,'000570,À’≥£≤Ò£¡,8.53,8.6,8.5,8.55,8.51,0.02,0.235,0.8597,3536476,30204134.48,4788523000.78,3509023000.78,2027
2016-08-23,'000570,À’≥£≤Ò£¡,8.51,8.56,8.46,8.49,8.49,0.02,0.2356,0.973,4002500,34069352.8,4777295514.26,3500795514.26,2080
2016-08-22,'000570,À’≥£≤Ò£¡,8.49,8.66,8.49,8.63,8.65,-0.16,-1.8497,1.3022,5356914,45770587.33,4766068027.74,3492568027.74,3299
2016-08-19,'000570,À’≥£≤Ò£¡,8.65,8.7,8.57,8.65,8.67,-0.02,-0.2307,1.2867,5293274,45696311.42,4855887919.9,3558387919.9,3279
2016-08-18,'000570,À’≥£≤Ò£¡,8.67,8.76,8.62,8.73,8.81,-0.14,-1.5891,2.4869,10230584,88742077.7,4867115406.42,3566615406.42,5854
2016-08-17,'000570,À’≥£≤Ò£¡,8.81,8.9,8.71,8.79,8.75,0.06,0.6857,1.8154,7468217,65849760.51,4945707812.06,3624207812.06,4287
2016-08-16,'000570,À’≥£≤Ò£¡,8.75,8.81,8.71,8.76,8.76,-0.01,-0.1142,1.5487,6371153,55818842.19,4912025352.5,3599525352.5,3678
2016-08-15,'000570,À’≥£≤Ò£¡,8.76,8.79,8.58,8.6,8.68,0.08,0.9217,2.5374,10438105,90932707.5,4917639095.76,3603639095.76,5164
2016-08-12,'000570,À’≥£≤Ò£¡,8.68,8.7,8.43,8.45,8.57,0.11,1.2835,1.6236,6679068,56909963.66,4872729149.68,3570729149.68,3453
2016-08-11,'000570,À’≥£≤Ò£¡,8.57,8.72,8.39,8.66,8.68,-0.11,-1.2673,1.5882,6533605,55723084.9,4810977973.82,3525477973.82,3929
2016-08-10,'000570,À’≥£≤Ò£¡,8.68,8.78,8.58,8.78,8.78,-0.1,-1.139,1.6151,6644037,57770978.23,4872729149.68,3570729149.68,4532
2016-08-09,'000570,À’≥£≤Ò£¡,8.78,8.8,8.44,8.46,8.46,0.32,3.7825,2.2409,9218379,79342743.27,4928866582.28,3611866582.28,4239
2016-08-08,'000570,À’≥£≤Ò£¡,8.46,8.46,8.28,8.3,8.38,0.08,0.9547,0.8322,3423618,28728534.22,4749226797.96,3480226797.96,2518
2016-08-05,'000570,À’≥£≤Ò£¡,8.38,8.46,8.34,8.42,8.43,-0.05,-0.5931,0.8067,3318701,27858193.76,4704316851.88,3447316851.88,2146
2016-08-04,'000570,À’≥£≤Ò£¡,8.43,8.46,8.29,8.43,8.41,0.02,0.2378,0.9104,3745350,31368492.66,4732385568.18,3467885568.18,2664
